subclass_id_label,AllenRegionRate,AllenRegionRateTop3,MajorRegionRate,MajorRegionRateTop3
152 RE-Xi Nox4 Glut,TH:0.895965417867435;HY:0.09164265129683;HY LZ:0.0123919308357349,TH:0.895965417867435;HY:0.09164265129683;HY LZ:0.0123919308357349,TH:0.895965417867435;HY:0.104034582132565,TH:0.895965417867435;HY:0.104034582132565;
153 MG-POL-SGN Nts Glut,TH:0.998831092928112;MB:0.00116890707188778,TH:0.998831092928112;MB:0.00116890707188778;,TH:0.998831092928112;MB:0.00116890707188778,TH:0.998831092928112;MB:0.00116890707188778;
154 PF Fzd5 Glut,TH:0.976027397260274;MB:0.0182648401826484;HY:0.0045662100456621;HY LZ:0.00114155251141553,TH:0.976027397260274;MB:0.0182648401826484;HY:0.0045662100456621,TH:0.976027397260274;MB:0.0182648401826484;HY:0.00570776255707763,TH:0.976027397260274;MB:0.0182648401826484;HY:0.00570776255707763
155 PRC-PAG Pax6 Glut,MB:0.875;TH:0.113805970149254;PONS:0.00652985074626866;HY:0.00186567164179104;CNU:0.000932835820895522;HB:0.000932835820895522;MY:0.000932835820895522,MB:0.875;TH:0.113805970149254;PONS:0.00652985074626866,MB:0.875;TH:0.113805970149254;Pons:0.00652985074626866;HY:0.00186567164179104;CNU:0.000932835820895522;HB:0.000932835820895522;MY:0.000932835820895522,MB:0.875;TH:0.113805970149254;Pons:0.00652985074626866
156 MB-ant-ve Dmrta2 Glut,MB:0.691228070175439;TH:0.203508771929825;HY:0.0596491228070175;HY LZ:0.0385964912280702;PONS:0.00701754385964912,MB:0.691228070175439;TH:0.203508771929825;HY:0.0596491228070175,MB:0.691228070175439;TH:0.203508771929825;HY:0.0982456140350877;Pons:0.00701754385964912,MB:0.691228070175439;TH:0.203508771929825;HY:0.0982456140350877
157 RN Spp1 Glut,MB:0.96875;PONS:0.03125,MB:0.96875;PONS:0.03125;,MB:0.96875;Pons:0.03125,MB:0.96875;Pons:0.03125;
158 MRN-PAG Nkx6-1 Glut,MB:0.956204379562044;PONS:0.0291970802919708;MY:0.0145985401459854,MB:0.956204379562044;PONS:0.0291970802919708;MY:0.0145985401459854,MB:0.956204379562044;Pons:0.0291970802919708;MY:0.0145985401459854,MB:0.956204379562044;Pons:0.0291970802919708;MY:0.0145985401459854
159 IF-RL-CLI-PAG Foxa1 Glut,MB:0.68384539147671;HY:0.279484638255699;TH:0.0356788899900892;HY LZ:0.000991080277502478,MB:0.68384539147671;HY:0.279484638255699;TH:0.0356788899900892,MB:0.68384539147671;HY:0.280475718533201;TH:0.0356788899900892,MB:0.68384539147671;HY:0.280475718533201;TH:0.0356788899900892
160 PAG-SC Neurod2 Meis2 Glut,MB:0.985903814262023;PONS:0.00580431177446103;TH:0.00414593698175788;MY:0.00248756218905473;CB:0.000829187396351575;MB-PONS:0.000829187396351575,MB:0.985903814262023;PONS:0.00580431177446103;TH:0.00414593698175788,MB:0.985903814262023;Pons:0.00580431177446103;TH:0.00414593698175788;MY:0.00248756218905473;CB:0.000829187396351575;MB-PONS:0.000829187396351575,MB:0.985903814262023;Pons:0.00580431177446103;TH:0.00414593698175788
161 PAG Pou4f3 Glut,MB:0.998641304347826;PONS:0.000679347826086957;TH:0.000679347826086957,MB:0.998641304347826;PONS:0.000679347826086957;TH:0.000679347826086957,MB:0.998641304347826;Pons:0.000679347826086957;TH:0.000679347826086957,MB:0.998641304347826;Pons:0.000679347826086957;TH:0.000679347826086957
162 CUN Evx2 Lhx2 Glut,MB:0.989440337909187;PONS:0.00422386483632524;CB:0.00211193241816262;TH:0.00211193241816262;HY:0.00105596620908131;HY LZ:0.00105596620908131,MB:0.989440337909187;PONS:0.00422386483632524;CB:0.00211193241816262,MB:0.989440337909187;Pons:0.00422386483632524;CB:0.00211193241816262;HY:0.00211193241816262;TH:0.00211193241816262,MB:0.989440337909187;Pons:0.00422386483632524;CB:0.00211193241816262
163 APN C1ql2 Glut,MB:0.629336579427876;TH:0.370663420572124,MB:0.629336579427876;TH:0.370663420572124;,MB:0.629336579427876;TH:0.370663420572124,MB:0.629336579427876;TH:0.370663420572124;
164 APN C1ql4 Glut,MB:0.630171865054106;TH:0.367918523233609;PONS:0.00127307447485678;HY LZ:0.00063653723742839,MB:0.630171865054106;TH:0.367918523233609;PONS:0.00127307447485678,MB:0.630171865054106;TH:0.367918523233609;Pons:0.00127307447485678;HY:0.00063653723742839,MB:0.630171865054106;TH:0.367918523233609;Pons:0.00127307447485678
165 PAG-MRN Pou3f1 Glut,MB:0.990571967316153;TH:0.00314267756128221;PONS:0.00251414204902577;HY LZ:0.00188560653676933;MB-PONS:0.00125707102451289;HY:0.000628535512256443,MB:0.990571967316153;TH:0.00314267756128221;PONS:0.00251414204902577,MB:0.990571967316153;TH:0.00314267756128221;HY:0.00251414204902577;Pons:0.00251414204902577;MB-PONS:0.00125707102451289,MB:0.990571967316153;TH:0.00314267756128221;HY:0.00251414204902577
