clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
5-2-1,17010,0.95,L4-5_IT_CTX_Glut,high,1,ITL4GL1,high,0.83,ITL45GL,high,0.99,Glut,high,1,GLUT,high,1
5-2-3,7242,0.97,L4-5_IT_CTX_Glut,high,0.99,ITL4GL3,high,0.7,ITL45GL,high,0.98,Glut,high,1,GLUT,high,1
5-2-4,4164,0.96,L4-5_IT_CTX_Glut,high,0.98,ITL4GL4,high,0.86,ITL45GL,high,0.95,Glut,high,1,GLUT,high,1
5-3-2,2827,0.94,L5_IT_CTX_Glut,high,0.82,RSPGL2,medium,0.44,ITL5GL,high,0.81,Glut,high,1,GLUT,high,1
5-3-1,6278,0.97,L5_IT_CTX_Glut,high,0.99,RSPGL1,low,0.36,ITL5GL,high,0.99,Glut,high,1,GLUT,high,1
5-3-3,242,0.95,L5_IT_CTX_Glut,medium,0.6,ITL6GL1,low,0.14,ITL5GL,medium,0.46,Glut,high,1,GLUT,high,1
5-4-1,1820,0.93,L4_RSP-ACA_Glut,high,1,RSPACAL4GL1,high,1,RSPL4GL,high,1,Glut,high,1,GLUT,high,1
5-4-2,886,0.95,L4_RSP-ACA_Glut,high,0.98,RSPACAL4GL1,high,0.98,RSPL4GL,high,0.98,Glut,high,1,GLUT,high,1
6-1-2,14520,0.98,Astro-NT_NN,high,1,ASCNT3,medium,0.6,ASCNT,high,0.99,NN,high,1,NN,high,1
6-1-1,19587,0.96,Astro-NT_NN,high,1,ASCNT2,medium,0.47,ASCNT,high,0.96,NN,high,1,NN,high,1
6-10-1,465,0.98,Bergmann_NN,high,0.95,ASCNT10,high,0.92,ASCTENT,high,0.93,NN,high,1,NN,high,1
6-10-2,192,0.99,Bergmann_NN,high,0.99,ASCNT10,high,0.99,ASCTENT,high,0.99,NN,high,1,NN,high,1
6-10-3,147,0.93,Bergmann_NN,high,0.98,ASCNT10,high,0.98,ASCTENT,high,0.99,NN,high,1,NN,high,1
6-10-4,85,0.98,Bergmann_NN,high,0.85,ASCNT10,high,0.81,ASCTENT,high,0.82,NN,high,0.99,NN,high,0.99
6-2-3,5650,0.99,Astro-NT_NN,high,1,ASCNT1,high,0.82,ASCNT,high,0.99,NN,high,1,NN,high,1
6-2-2,11048,0.96,Astro-NT_NN,high,0.98,ASCNT2,medium,0.44,ASCNT,high,0.95,NN,high,1,NN,high,1
6-2-1,15284,0.99,Astro-NT_NN,high,0.99,ASCNT1,high,0.78,ASCNT,high,0.98,NN,high,1,NN,high,1
6-3-1,12314,0.94,Astro-NT_NN,high,1,ASCNT4,medium,0.6,ASCNT,high,0.96,NN,high,1,NN,high,1
6-3-3,602,0.99,Astro-NT_NN,high,0.99,ASCNT4,medium,0.59,ASCNT,high,0.96,NN,high,1,NN,high,1
6-3-2,4768,0.98,Astro-NT_NN,high,0.97,ASCNT4,high,0.9,ASCNT,high,0.94,NN,high,1,NN,high,1
6-4-2,6388,0.99,Astro-NT_NN,high,0.99,ASCNT5,medium,0.69,ASCNT,high,0.98,NN,high,1,NN,high,1
6-4-1,7290,0.99,Astro-NT_NN,high,1,ASCNT5,high,0.71,ASCNT,high,0.98,NN,high,1,NN,high,1
6-5-1,2601,0.92,Astro-NT_NN,high,0.94,ASCNT7,high,0.82,ASCTENT,high,0.93,NN,high,1,NN,high,1
